smiles,sources,n_sources,sweet,sour,woody,floral,citrus,spicy,musk,fresh,green,warm,fruity,smoky,powdery,aquatic,herbal,amber,leather,earthy,ozonic,metallic
BrC=Cc1ccccc1,GS+LF,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
C#CC(C)(O)CCC=C(C)C,GS+LF,1,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
C#CC1(OC(C)=O)CCCCC1,GS+LF,1,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
C#CC1(OC(C)=O)CCCCC1C(C)CC,GS+LF,1,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
C#CCO,GS+LF,1,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
C#CCO.CCC(=O)CCC1C(C)=CCCC1(C)C,GS+LF,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
C(=CC1OCCO1)c1ccccc1,GS+LF,1,0.5000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
C/C=C/c1ccc(OC)cc1,Dravnieks,1,0.7745,0.0963,0.0581,0.2790,0.0250,0.5742,0.0723,0.2665,0.0127,0.4416,0.0277,0.1086,0.0051,0.0044,1.0000,0.1201,0.0263,0.0127,0.0000,0.1387
C1=CC2COCC2CCCCCCCC1,GS+LF,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000
C1=NCCC1,GS+LF,1,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
C1CC2C3CC(C2C1)C1(CCCO1)C3,GS+LF,1,0.0000,0.0000,0.0000,0.5000,1.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
C1CCC(SSC2CCCCC2)CC1,GS+LF,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
C1CCC2CCCCC2C1,Dravnieks,1,0.4104,0.2292,0.4838,0.1855,0.1100,0.3618,0.4097,0.3836,0.2525,0.5621,0.0839,0.1636,0.0374,0.1502,1.0000,0.0839,0.1058,0.4111,0.0000,0.8152
C1CCCC2(CCC1)CCCO2,GS+LF,1,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
C1CCCCC1,GS+LF+Keller,2,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
C1CCCCCC2COCC2CCCC1,GS+LF,1,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
C1CCNC1,GS+LF+Keller,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
C1CCNCC1,GS+LF+Keller,2,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
C1CCOCC1,GS+LF,1,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
C1CCSC1,Dravnieks+GS+LF,2,0.0301,0.1828,0.0150,0.0000,0.0059,0.0421,0.1680,0.0246,0.0041,0.0557,0.0000,0.4373,0.0000,0.0092,0.2584,0.0000,0.0175,0.4059,0.0000,1.0000
C1CCSSC1,GS+LF,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
