smiles,name,sources,n_sources
S=C=NCCc1ccccc1,,dream|local|pyrfume|unified,4
C=CC(CCCCC)OC(C)=O,,dream|local|pyrfume|unified,4
CC(=O)c1cc(C)sc1C,,dream|local|pyrfume|unified,4
CC12C=CCC1C1CCC3=CC(=O)CCC3(C)C1CC2,,dream|pyrfume,2
CC(C)C(=O)OCc1ccc2c(c1)OCO2,,dream|local|pyrfume|unified,4
CCOC(=O)CC(O)C(=O)OCC,,dream|local|pyrfume|unified,4
COc1ccc(C(C)=O)cc1,,dream|local|pyrfume|unified,4
O=C1CCSC1,,dream|local|pyrfume|unified,4
CCOc1ccc(C=O)cc1,,dream|local|pyrfume|unified,4
CCc1ccccc1,,dream|pyrfume,2
OCc1ccccc1,,dream|local|pyrfume|unified,4
O=Cc1ccccc1,,dream|local|pyrfume|unified,4
COc1ccccc1,,dream|local|pyrfume|unified,4
COC(=O)Cc1ccccc1,,dream|local|pyrfume|unified,4
c1ccc(Oc2ccccc2)cc1,,dream|local|pyrfume|unified,4
O=C(Cc1ccccc1)Cc1ccccc1,,dream|local|pyrfume|unified,4
CC(C)COC(=O)Cc1ccccc1,,dream|local|pyrfume|unified,4
O=C(Cc1ccccc1)OCc1ccccc1,,dream|local|pyrfume|unified,4
O=C(Cc1ccccc1)OCCc1ccccc1,,dream|local|pyrfume|unified,4
CC(=O)OCC(COC(C)=O)OC(C)=O,,dream|local|pyrfume|unified,4
CC(C)(O)CCc1ccccc1,,dream|local|pyrfume|unified,4
CCCCC(CC)COC(C)=O,,dream|local|pyrfume|unified,4
CCOC(=O)C=Cc1ccccc1,,dream|local|pyrfume|unified,4
CC(=O)OCCc1ccccc1,,dream|local|pyrfume|unified,4
c1ccc(COCc2ccccc2)cc1,,dream|local|pyrfume|unified,4
CC(C)C(=O)OCCOc1ccccc1,,dream|local|pyrfume|unified,4
COc1ccc(COC(C)=O)cc1,,dream|local|pyrfume|unified,4
OCC=Cc1ccccc1,,dream|local|pyrfume|unified,4
CCCCC(CC)CO,,dream|local|pyrfume|unified,4
COc1ccc(C)cc1,,dream|local|pyrfume|unified,4
CCCCCCC=CC(C)=O,,dream|local|pyrfume|unified,4
OCCCCCc1ccccc1,,dream|local|pyrfume|unified,4
CCOC(=O)CC,,dream|local|pyrfume|unified,4
CCOC(=O)CC(=O)OCC,,dream|local|pyrfume|unified,4
CCCC(=O)OCC,,dream|local|pyrfume|unified,4
CCOC(C)OCC,,dream|local|pyrfume|unified,4
O=C1CCCCCN1,,dream|local|pyrfume|unified,4
CCCOC(=O)CCC,,dream|local|pyrfume|unified,4
CC(=O)OCC=C(C)CCC=C(C)C,,dream|local|pyrfume|unified,4
CC(=O)c1cc(C)oc1C,,dream|local|pyrfume|unified,4
O=C1CCCCCCCCCCCCCCO1,,dream|local|pyrfume|unified,4
CC(C)CCCC(C)CCO,,dream|local|pyrfume|unified,4
CC(C)=CCCC(C)=CCO,,dream|local|pyrfume|unified,4
CCCC(=O)OCCC(C)C,,dream|local|pyrfume|unified,4
CCCCCCC(=O)OCC,,dream|local|pyrfume|unified,4
